
4	01/05/2024 09.56	0	1
11	01/05/2024 17.50	0	1
11	01/05/2024 17.53	0	0
7	01/05/2024 17.53	0	1
7	01/05/2024 17.54	0	1
3	01/05/2024 17.54	0	1
4	01/05/2024 17.54	0	1
10	02/05/2024 08.27	0	1
3	02/05/2024 08.30	0	1
15	02/05/2024 08.40	0	1
2	02/05/2024 08.41	0	1
1	02/05/2024 08.43	0	1
4	02/05/2024 08.44	0	1
6	02/05/2024 08.45	0	1
7	02/05/2024 08.51	0	1
12	02/05/2024 08.53	0	1
5	02/05/2024 09.04	0	1
9	02/05/2024 09.08	0	16
9	02/05/2024 09.08	0	16
11	02/05/2024 09.28	0	1
11	02/05/2024 09.28	0	1
1	02/05/2024 18.04	1	1
6	02/05/2024 18.04	1	1
16	02/05/2024 18.10	1	1
2	02/05/2024 18.10	1	1
3	02/05/2024 18.11	1	1
9	02/05/2024 18.25	0	16
9	02/05/2024 18.25	0	16
9	02/05/2024 18.25	0	16
9	02/05/2024 18.25	1	16
9	02/05/2024 18.25	1	16
12	02/05/2024 19.52	1	1
7	02/05/2024 19.52	1	1
11	02/05/2024 19.53	1	16
11	02/05/2024 19.53	1	16
11	02/05/2024 19.53	1	1
11	02/05/2024 19.53	1	1
7	02/05/2024 19.54	1	1
4	02/05/2024 19.55	1	1
4	02/05/2024 19.56	0	0
13	03/05/2024 07.25	0	1
4	03/05/2024 08.02	0	1
16	03/05/2024 08.09	0	1
3	03/05/2024 08.23	0	1
2	03/05/2024 08.36	0	1
6	03/05/2024 08.44	0	1
7	03/05/2024 08.57	0	1
11	03/05/2024 09.04	0	1
9	03/05/2024 09.12	0	16
15	03/05/2024 09.16	0	1
12	03/05/2024 09.19	0	1
1	03/05/2024 09.33	0	1
8	03/05/2024 09.33	0	1
19	03/05/2024 10.04	0	1
13	03/05/2024 17.07	0	1
1	03/05/2024 18.25	1	1
11	03/05/2024 18.30	1	1
11	03/05/2024 18.30	1	1
7	03/05/2024 18.30	1	1
15	03/05/2024 18.31	1	1
15	03/05/2024 18.31	1	16
6	03/05/2024 18.42	1	1
3	03/05/2024 18.56	1	0
9	03/05/2024 19.26	1	16
9	03/05/2024 19.26	1	16
2	03/05/2024 19.35	1	1
16	03/05/2024 19.35	1	1
13	06/05/2024 07.41	1	1
16	06/05/2024 08.13	0	1
2	06/05/2024 08.28	0	1
3	06/05/2024 08.44	0	1
6	06/05/2024 08.46	0	1
4	06/05/2024 08.58	0	1
1	06/05/2024 09.05	0	1
5	06/05/2024 09.06	0	1
19	06/05/2024 09.49	0	1
10	06/05/2024 11.52	0	1
10	06/05/2024 13.36	0	16
13	06/05/2024 17.11	0	1
13	06/05/2024 17.11	0	16
3	06/05/2024 18.03	0	16
3	06/05/2024 18.03	0	16
3	06/05/2024 18.03	0	16
3	06/05/2024 18.03	0	16
3	06/05/2024 18.03	0	16
3	06/05/2024 18.03	0	16
16	06/05/2024 18.39	1	1
19	06/05/2024 18.39	1	1
6	06/05/2024 18.39	1	1
1	06/05/2024 18.39	1	1
2	06/05/2024 18.48	1	1
5	06/05/2024 18.48	1	1
4	06/05/2024 18.50	1	1
9	06/05/2024 19.04	1	16
9	06/05/2024 19.04	1	16
9	06/05/2024 19.04	1	16
9	06/05/2024 19.04	1	1
9	06/05/2024 19.04	1	16
10	06/05/2024 19.04	1	1
13	07/05/2024 07.20	1	1
16	07/05/2024 08.08	0	1
3	07/05/2024 08.14	0	1
3	07/05/2024 08.14	0	1
2	07/05/2024 08.19	0	1
6	07/05/2024 09.05	0	1
12	07/05/2024 09.09	0	1
4	07/05/2024 09.09	0	1
4	07/05/2024 09.10	0	16
5	07/05/2024 09.19	0	1
1	07/05/2024 09.39	0	1
19	07/05/2024 09.40	0	1
2	07/05/2024 10.02	0	16
20	07/05/2024 15.12	0	16
20	07/05/2024 15.12	0	16
13	07/05/2024 17.03	0	1
12	07/05/2024 18.06	1	1
2	07/05/2024 18.09	1	1
6	07/05/2024 18.10	1	1
16	07/05/2024 18.10	1	1
5	07/05/2024 18.10	1	1
1	07/05/2024 18.10	1	1
3	07/05/2024 18.10	1	1
20	07/05/2024 18.14	1	16
20	07/05/2024 18.14	1	16
9	07/05/2024 18.14	1	16
8	07/05/2024 18.14	1	16
10	07/05/2024 18.15	1	1
13	08/05/2024 07.57	1	1
16	08/05/2024 08.22	0	1
2	08/05/2024 08.42	0	1
3	08/05/2024 08.57	0	1
6	08/05/2024 09.02	0	1
5	08/05/2024 09.14	0	1
9	08/05/2024 09.27	0	16
9	08/05/2024 09.27	0	16
1	08/05/2024 09.47	0	1
1	08/05/2024 09.47	0	1
20	08/05/2024 10.33	0	16
20	08/05/2024 10.33	0	16
10	08/05/2024 14.19	0	1
13	08/05/2024 17.17	0	1
16	08/05/2024 18.39	1	1
6	08/05/2024 18.39	1	1
1	08/05/2024 18.43	1	1
3	08/05/2024 18.46	1	1
2	08/05/2024 19.54	1	1
12	08/05/2024 19.54	1	1
1	09/05/2024 09.20	1	1
1	09/05/2024 09.20	0	1
13	13/05/2024 07.44	0	1
16	13/05/2024 08.37	0	1
2	13/05/2024 08.42	0	1
6	13/05/2024 08.55	0	1
6	13/05/2024 08.55	0	1
12	13/05/2024 09.05	0	1
14	13/05/2024 09.08	0	1
18	13/05/2024 09.08	0	1
1	13/05/2024 09.27	0	1
19	13/05/2024 09.46	0	1
5	13/05/2024 10.16	0	1
3	13/05/2024 13.52	0	1
13	13/05/2024 17.29	0	1
14	13/05/2024 18.07	1	1
18	13/05/2024 18.07	1	1
16	13/05/2024 18.07	1	1
12	13/05/2024 18.19	1	1
1	13/05/2024 18.26	1	1
6	13/05/2024 18.26	1	1
9	13/05/2024 18.52	1	16
9	13/05/2024 18.52	1	16
2	13/05/2024 19.02	1	1
3	13/05/2024 19.02	1	1
4	14/05/2024 07.06	1	1
4	14/05/2024 07.06	0	1
13	14/05/2024 07.46	0	16
13	14/05/2024 07.46	0	1
13	14/05/2024 07.46	0	16
16	14/05/2024 08.24	0	1
14	14/05/2024 08.41	0	1
6	14/05/2024 09.05	0	1
12	14/05/2024 09.05	0	1
3	14/05/2024 09.09	0	1
3	14/05/2024 09.09	0	1
5	14/05/2024 09.16	0	1
1	14/05/2024 09.17	0	1
9	14/05/2024 09.20	0	16
9	14/05/2024 09.20	0	16
18	14/05/2024 09.26	0	1
19	14/05/2024 09.41	0	1
10	14/05/2024 09.58	0	1
13	14/05/2024 17.05	0	1
6	14/05/2024 18.11	1	1
6	14/05/2024 18.11	1	1
12	14/05/2024 18.13	1	1
2	14/05/2024 18.14	1	1
16	14/05/2024 18.14	1	1
3	14/05/2024 18.15	1	1
1	14/05/2024 18.21	1	1
4	14/05/2024 18.48	1	1
9	14/05/2024 19.00	1	16
9	14/05/2024 19.00	1	16
10	14/05/2024 19.00	1	1
16	15/05/2024 08.24	0	1
2	15/05/2024 08.27	0	1
2	15/05/2024 08.27	0	1
4	15/05/2024 08.32	0	1
14	15/05/2024 08.32	0	1
3	15/05/2024 08.40	0	1
6	15/05/2024 09.13	0	1
12	15/05/2024 09.29	0	1
1	15/05/2024 09.33	0	1
5	15/05/2024 09.46	0	1
9	15/05/2024 09.56	0	16
9	15/05/2024 09.56	0	16
9	15/05/2024 14.32	1	1
6	15/05/2024 18.02	1	1
16	15/05/2024 18.03	1	1
14	15/05/2024 18.08	1	1
2	15/05/2024 18.09	1	1
3	15/05/2024 18.09	1	16
